date,stadium,stad_lat,stad_long,stad_address
2022-10-16 20:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2022-10-22 14:30:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2022-10-23 14:30:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2022-10-23 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2022-10-28 20:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2022-10-30 17:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2022-10-30 20:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2022-10-31 20:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2022-11-04 20:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2022-11-04 20:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2022-11-05 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2022-11-12 20:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2022-11-13 14:30:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2022-11-13 17:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2022-12-23 20:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2022-12-24 16:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2022-12-25 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2022-12-27 17:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2022-12-28 17:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2022-12-28 20:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2022-12-29 20:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-01-03 17:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-01-04 17:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-01-04 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-01-07 19:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-01-08 13:30:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-01-09 17:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-01-09 20:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-01-13 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-01-15 13:30:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-01-15 16:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-01-21 16:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-01-21 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-01-23 20:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-01-27 20:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-01-29 13:30:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-01-29 19:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-01-31 20:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-02-01 17:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-02-01 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-02-05 13:30:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-02-05 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-02-26 16:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-02-26 19:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-03-04 13:30:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-03-05 19:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-03-06 20:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-03-11 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-03-12 00:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-03-12 19:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-03-13 20:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-03-18 13:30:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-03-18 19:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-03-19 16:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-04-01 16:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-04-01 20:30:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-04-02 13:30:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-04-03 20:30:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-04-08 20:30:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-04-09 20:30:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-04-10 20:30:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-04-14 20:30:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-04-15 16:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-04-18 20:30:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-04-19 00:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-04-19 17:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-04-19 20:30:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-04-22 19:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-04-23 13:30:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-04-23 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-04-29 16:00:00,ATATÜRK OLİMPİYAT - İSTANBUL,41.0744732,28.76566105174166,"Atatürk Olimpiyat Stadyumu, Olimpiyat Bulvarı, Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
2023-04-30 19:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-05-01 20:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-05-07 13:30:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-05-08 20:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-05-16 20:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-05-17 00:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-05-17 17:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-05-17 20:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
2023-05-20 16:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-05-20 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-05-21 16:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-05-30 20:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-05-30 20:00:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL,41.12280665,28.809385151889188,"İstanbul Başakşehir Fatih Terim Stadyumu, Ordu Caddesi, Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
2023-06-03 19:00:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,41.032745,28.972365203229973,"Recep Tayyip Erdoğan Stadyumu, Yunus Kaptan Sokağı, Tepebaşı, Çatma Mescit Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34430, Türkiye"
2023-06-03 19:00:00,ÜMRANİYE STADYUMU - İSTANBUL,41.05876215,29.109408924397407,"Ümraniye Şehir Stadyumu, Semerkant Sokağı, Hekimbaşı Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34766, Türkiye"
2023-06-04 19:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-06-06 17:00:00,NEF STADYUMU - ISTANBUL,41.10342555,28.99103795029205,"Nef Stadyumu, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
2023-06-07 20:00:00,NECMİ KADIOĞLU - İSTANBUL,41.024316999999996,28.69784627663047,"Necmi Kadıoğlu Stadı, Okurlar Caddesi, Yunus Emre Mahallesi, Esenyurt, İstanbul, Marmara Bölgesi, 34510, Türkiye"
2023-06-07 20:00:00,VODAFONE PARK - İSTANBUL,41.03944355,28.994411799999998,"Vodafone Park, 1, Dolmabahçe Caddesi, Akaretler, Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
